question,answer
Who is John C. Stennis?,"Now , the picture is clouded , and even US Sens. James O. Eastland and John C. Stennis , who remained loyal to the ticket , are uncertain of their status ."
What is Mississippi?,Reports are that it is more than probable that the four congressmen from Mississippi who did not support the party ticket will be stripped of the usual patronage which flows to congressmen .
Who is Baton?,"Baton Rouge , La."
What is Rouge?,"Baton Rouge , La."
What is La?,"Baton Rouge , La."
Who is Jimmie H. Davis?,"-- The Gov. Jimmie H. Davis administration appears to face a difficult year in 1961 , with the governor's theme of peace and harmony subjected to severe stresses ."
What is House?,The tax bill will be up for reconsideration Wednesday in the House when the Legislature reconvenes .
What is Legislature?,The tax bill will be up for reconsideration Wednesday in the House when the Legislature reconvenes .
Who is Davis?,Davis may use the tax bill as a means to effect a transition from special sessions of the Legislature to normalcy .
What is Legislature?,Davis may use the tax bill as a means to effect a transition from special sessions of the Legislature to normalcy .
What is Legislature?,"If it fails to pass , he can throw up his hands and say the Legislature would not support him in his efforts to prevent integration ."
What is Legislature?,He could terminate special sessions of the Legislature .
Who is Davis?,"Actually , Davis would have to toss in the towel soon anyway ."
Who is Davis?,Passage of the sales tax measure would also give Davis the means to effect a transition .
What is Legislature?,"If the administration does not succeed in passing the sales tax bill , or any other tax bill , it could very well be faced this spring at the fiscal session of the Legislature with an interesting dilemma ."
What is Legislature?,"In either case , it could call a special session of the Legislature later in 1961 to make another stab at raising additional revenues through a tax raiser ."
Who is Davis?,"But if all alternatives should be clearly blocked off , it can be expected the Davis administration will take steps to trim spending at the spring session of the state Legislature ."
What is Legislature?,"This might be done to arouse those who have been squeezed out by the trims to exert pressure on the Legislature , so it would be more receptive to a tax proposal later in the year ."
Who is Davis?,A constant problem confronting Davis on any proposals for new taxes will be the charge by his foes that he has not tried to economize .
Who is Davis?,"The new year might see some house-cleaning , either genuine or token , depending upon developments , to give Davis an opportunity to combat some of these criticisms ."
Who is City?,City Controller Alexander Hemphill charged Tuesday that the bids on the Frankford Elevated repair project were rigged to the advantage of a private contracting company which had `` an inside track '' with the city .
What is Controller?,City Controller Alexander Hemphill charged Tuesday that the bids on the Frankford Elevated repair project were rigged to the advantage of a private contracting company which had `` an inside track '' with the city .
Who is Alexander Hemphill?,City Controller Alexander Hemphill charged Tuesday that the bids on the Frankford Elevated repair project were rigged to the advantage of a private contracting company which had `` an inside track '' with the city .
What is Frankford Elevated?,City Controller Alexander Hemphill charged Tuesday that the bids on the Frankford Elevated repair project were rigged to the advantage of a private contracting company which had `` an inside track '' with the city .
Who is Hemphill?,Hemphill said that the Hughes Steel Erection Co. contracted to do the work at an impossibly low cost with a bid that was far less than the `` legitimate '' bids of competing contractors .
What is Hughes Steel Erection?,Hemphill said that the Hughes Steel Erection Co. contracted to do the work at an impossibly low cost with a bid that was far less than the `` legitimate '' bids of competing contractors .
What is Hughes?,"The Hughes concern then took `` shortcuts '' on the project but got paid anyway , Hemphill said ."
Who is Hemphill?,"The Hughes concern then took `` shortcuts '' on the project but got paid anyway , Hemphill said ."
What is Controller?,The Controller's charge of rigging was the latest development in an investigation which also brought these disclosures Tuesday :
What is Philadelphia Transportation?,The Philadelphia Transportation Co. is investigating the part its organization played in reviewing the project .
Who is Harold V. Varani?,"The signature of Harold V. Varani , former director of architecture and engineering in the Department of Public Property , appeared on payment vouchers certifying work on the project ."
What is Department?,"The signature of Harold V. Varani , former director of architecture and engineering in the Department of Public Property , appeared on payment vouchers certifying work on the project ."
What is Public Property?,"The signature of Harold V. Varani , former director of architecture and engineering in the Department of Public Property , appeared on payment vouchers certifying work on the project ."
What is Varani?,Varani has been fired on charges of accepting gifts from the contractor .
Who is Director Donald?,Managing Director Donald C. Wagner has agreed to cooperate fully with Hemphill after a period of sharp disagreement on the matter .
Who is Wagner?,Managing Director Donald C. Wagner has agreed to cooperate fully with Hemphill after a period of sharp disagreement on the matter .
Who is Hemphill?,Managing Director Donald C. Wagner has agreed to cooperate fully with Hemphill after a period of sharp disagreement on the matter .
What is City?,The announcement that the city would sue for recovery on the performance bond was made by City Solicitor David Berger at a press conference following a meeting in the morning with Wagner and other officials of the city and the PTC as well as representatives of an engineering firm that was pulled off the El project before its completion in 1959 .
